Disease,Description,Symptoms,Precautions,Medicines,Dosage,Emergency_Signs,Lifestyle_Tips
Disease_15,A simulated disease profile for Disease_15 with common medical symptoms and treatments.,"Loss of appetite,Rash,Chest pain,Joint pain,Dizziness","Regular hand washing,Physical distancing,Maintain hygiene","Omeprazole,Loratadine,Cetirizine","500mg twice a day,200mg every 8 hours","Loss of consciousness,Difficulty breathing","Regular checkups,Low-fat diet,Hydration"
Disease_16,A simulated disease profile for Disease_16 with common medical symptoms and treatments.,"Loss of appetite,Fever,Muscle pain,Cough,Sore throat","Avoid spicy food,Drink plenty of water,Physical distancing","Aspirin,Ibuprofen,Azithromycin","10ml thrice a day,500mg twice a day","Difficulty breathing,Loss of consciousness","Hydration,Adequate sleep,Daily exercise"
Disease_17,A simulated disease profile for Disease_17 with common medical symptoms and treatments.,"Sore throat,Rash,Nausea,Dizziness,Cough","Regular hand washing,Maintain hygiene,Use protective gear","Prednisone,Amoxicillin,Ibuprofen","10ml thrice a day,500mg twice a day","High-grade fever,Loss of consciousness","Adequate sleep,Limit alcohol intake,Regular checkups"
Disease_18,A simulated disease profile for Disease_18 with common medical symptoms and treatments.,"Fatigue,Joint pain,Loss of appetite,Vomiting,Fever","Use protective gear,Drink plenty of water,Eat a balanced diet","Ibuprofen,Loratadine,Amoxicillin","200mg every 8 hours,250mg every 6 hours","High-grade fever,Severe chest pain","Regular checkups,Daily exercise,Adequate sleep"
Disease_19,A simulated disease profile for Disease_19 with common medical symptoms and treatments.,"Sore throat,Loss of appetite,Chest pain,Muscle pain,Vomiting","Eat a balanced diet,Rest adequately,Avoid contact with infected individuals","Prednisone,Ibuprofen,Loratadine","200mg every 8 hours,250mg every 6 hours","Severe chest pain,High-grade fever","Stress management,Hydration,Daily exercise"
Disease_20,A simulated disease profile for Disease_20 with common medical symptoms and treatments.,"Nausea,Rash,Fatigue,Vomiting,Shortness of breath","Vaccination,Use protective gear,Drink plenty of water","Omeprazole,Cetirizine,Paracetamol","10ml thrice a day,250mg every 6 hours","Uncontrolled bleeding,Severe chest pain","Hydration,Daily exercise,Stress management"
Disease_21,A simulated disease profile for Disease_21 with common medical symptoms and treatments.,"Dizziness,Blurred vision,Cough,Vomiting,Sore throat","Use protective gear,Drink plenty of water,Physical distancing","Metformin,Paracetamol,Prednisone","200mg every 8 hours,500mg twice a day","High-grade fever,Loss of consciousness","Low-fat diet,Stress management,Hydration"
Disease_22,A simulated disease profile for Disease_22 with common medical symptoms and treatments.,"Fever,Shortness of breath,Cough,Vomiting,Fatigue","Maintain hygiene,Physical distancing,Regular hand washing","Aspirin,Paracetamol,Cetirizine","250mg every 6 hours,100mg once daily","Loss of consciousness,Uncontrolled bleeding","Low-fat diet,Hydration,Stress management"
Disease_23,A simulated disease profile for Disease_23 with common medical symptoms and treatments.,"Nausea,Loss of appetite,Headache,Blurred vision,Rash","Use protective gear,Eat a balanced diet,Regular hand washing","Cetirizine,Aspirin,Metformin","10ml thrice a day,500mg twice a day","High-grade fever,Severe dehydration","Avoid smoking,Regular checkups,Adequate sleep"
Disease_24,A simulated disease profile for Disease_24 with common medical symptoms and treatments.,"Shortness of breath,Fever,Headache,Dizziness,Chest pain","Regular hand washing,Use protective gear,Vaccination","Prednisone,Aspirin,Omeprazole","200mg every 8 hours,250mg every 6 hours","Difficulty breathing,High-grade fever","Adequate sleep,Low-fat diet,Limit alcohol intake"
Disease_25,A simulated disease profile for Disease_25 with common medical symptoms and treatments.,"Headache,Nausea,Fatigue,Vomiting,Sore throat","Rest adequately,Regular hand washing,Maintain hygiene","Paracetamol,Prednisone,Ibuprofen","1 tablet after meals,10ml thrice a day","Severe dehydration,Difficulty breathing","Regular checkups,Daily exercise,Adequate sleep"
Disease_26,A simulated disease profile for Disease_26 with common medical symptoms and treatments.,"Fever,Headache,Muscle pain,Fatigue,Loss of appetite","Avoid contact with infected individuals,Physical distancing,Regular hand washing","Omeprazole,Aspirin,Prednisone","100mg once daily,500mg twice a day","Severe chest pain,Uncontrolled bleeding","Daily exercise,Low-fat diet,Limit alcohol intake"
Disease_27,A simulated disease profile for Disease_27 with common medical symptoms and treatments.,"Joint pain,Sore throat,Loss of appetite,Vomiting,Headache","Vaccination,Avoid contact with infected individuals,Physical distancing","Ibuprofen,Loratadine,Metformin","10ml thrice a day,200mg every 8 hours","Severe dehydration,High-grade fever","Low-fat diet,Daily exercise,Regular checkups"
Disease_28,A simulated disease profile for Disease_28 with common medical symptoms and treatments.,"Dizziness,Loss of appetite,Cough,Shortness of breath,Muscle pain","Avoid contact with infected individuals,Regular hand washing,Maintain hygiene","Aspirin,Ibuprofen,Omeprazole","500mg twice a day,10ml thrice a day","Uncontrolled bleeding,Loss of consciousness","Adequate sleep,Hydration,Daily exercise"
Disease_29,A simulated disease profile for Disease_29 with common medical symptoms and treatments.,"Blurred vision,Muscle pain,Chest pain,Nausea,Shortness of breath","Avoid spicy food,Maintain hygiene,Avoid contact with infected individuals","Paracetamol,Prednisone,Omeprazole","1 tablet after meals,10ml thrice a day","Uncontrolled bleeding,High-grade fever","Stress management,Daily exercise,Avoid smoking"
Disease_30,A simulated disease profile for Disease_30 with common medical symptoms and treatments.,"Joint pain,Nausea,Cough,Chest pain,Blurred vision","Vaccination,Physical distancing,Eat a balanced diet","Ibuprofen,Omeprazole,Paracetamol","1 tablet after meals,250mg every 6 hours","Difficulty breathing,Severe chest pain","Stress management,Daily exercise,Regular checkups"
Disease_31,A simulated disease profile for Disease_31 with common medical symptoms and treatments.,"Vomiting,Shortness of breath,Muscle pain,Nausea,Sore throat","Eat a balanced diet,Avoid contact with infected individuals,Maintain hygiene","Paracetamol,Prednisone,Amoxicillin","10ml thrice a day,200mg every 8 hours","Severe dehydration,Uncontrolled bleeding","Regular checkups,Avoid smoking,Daily exercise"
Disease_32,A simulated disease profile for Disease_32 with common medical symptoms and treatments.,"Chest pain,Rash,Sore throat,Fatigue,Muscle pain","Physical distancing,Vaccination,Avoid spicy food","Azithromycin,Ibuprofen,Prednisone","100mg once daily,200mg every 8 hours","Uncontrolled bleeding,Loss of consciousness","Adequate sleep,Hydration,Low-fat diet"
Disease_33,A simulated disease profile for Disease_33 with common medical symptoms and treatments.,"Blurred vision,Headache,Vomiting,Fatigue,Sore throat","Avoid contact with infected individuals,Eat a balanced diet,Vaccination","Cetirizine,Amoxicillin,Aspirin","250mg every 6 hours,500mg twice a day","Difficulty breathing,Severe dehydration","Hydration,Avoid smoking,Low-fat diet"
Disease_34,A simulated disease profile for Disease_34 with common medical symptoms and treatments.,"Joint pain,Loss of appetite,Nausea,Chest pain,Shortness of breath","Drink plenty of water,Use protective gear,Avoid spicy food","Metformin,Prednisone,Cetirizine","1 tablet after meals,500mg twice a day","Severe chest pain,Difficulty breathing","Daily exercise,Regular checkups,Avoid smoking"
Disease_35,A simulated disease profile for Disease_35 with common medical symptoms and treatments.,"Blurred vision,Fever,Sore throat,Loss of appetite,Fatigue","Eat a balanced diet,Use protective gear,Avoid spicy food","Azithromycin,Cetirizine,Loratadine","500mg twice a day,10ml thrice a day","Difficulty breathing,Uncontrolled bleeding","Regular checkups,Daily exercise,Adequate sleep"
Disease_36,A simulated disease profile for Disease_36 with common medical symptoms and treatments.,"Nausea,Chest pain,Muscle pain,Loss of appetite,Fever","Eat a balanced diet,Vaccination,Regular hand washing","Amoxicillin,Metformin,Azithromycin","10ml thrice a day,500mg twice a day","Uncontrolled bleeding,Severe dehydration","Limit alcohol intake,Daily exercise,Hydration"
Disease_37,A simulated disease profile for Disease_37 with common medical symptoms and treatments.,"Muscle pain,Shortness of breath,Fatigue,Headache,Blurred vision","Rest adequately,Physical distancing,Regular hand washing","Omeprazole,Paracetamol,Azithromycin","1 tablet after meals,500mg twice a day","Loss of consciousness,High-grade fever","Adequate sleep,Low-fat diet,Stress management"
Disease_38,A simulated disease profile for Disease_38 with common medical symptoms and treatments.,"Fever,Loss of appetite,Nausea,Chest pain,Blurred vision","Maintain hygiene,Vaccination,Physical distancing","Azithromycin,Metformin,Ibuprofen","500mg twice a day,10ml thrice a day","Severe dehydration,Uncontrolled bleeding","Limit alcohol intake,Hydration,Daily exercise"
Disease_39,A simulated disease profile for Disease_39 with common medical symptoms and treatments.,"Loss of appetite,Headache,Fatigue,Dizziness,Cough","Drink plenty of water,Use protective gear,Physical distancing","Omeprazole,Amoxicillin,Paracetamol","1 tablet after meals,100mg once daily","Difficulty breathing,Uncontrolled bleeding","Hydration,Low-fat diet,Avoid smoking"
Disease_40,A simulated disease profile for Disease_40 with common medical symptoms and treatments.,"Vomiting,Muscle pain,Blurred vision,Chest pain,Cough","Regular hand washing,Physical distancing,Eat a balanced diet","Azithromycin,Aspirin,Omeprazole","100mg once daily,250mg every 6 hours","Severe dehydration,Uncontrolled bleeding","Regular checkups,Daily exercise,Limit alcohol intake"
Disease_41,A simulated disease profile for Disease_41 with common medical symptoms and treatments.,"Joint pain,Muscle pain,Nausea,Fever,Fatigue","Eat a balanced diet,Physical distancing,Use protective gear","Azithromycin,Cetirizine,Prednisone","500mg twice a day,1 tablet after meals","High-grade fever,Uncontrolled bleeding","Hydration,Daily exercise,Low-fat diet"
Disease_42,A simulated disease profile for Disease_42 with common medical symptoms and treatments.,"Loss of appetite,Cough,Fever,Joint pain,Headache","Avoid contact with infected individuals,Regular hand washing,Maintain hygiene","Omeprazole,Cetirizine,Aspirin","200mg every 8 hours,10ml thrice a day","Difficulty breathing,Loss of consciousness","Hydration,Regular checkups,Daily exercise"
Disease_43,A simulated disease profile for Disease_43 with common medical symptoms and treatments.,"Shortness of breath,Blurred vision,Loss of appetite,Fever,Fatigue","Avoid contact with infected individuals,Eat a balanced diet,Use protective gear","Metformin,Omeprazole,Azithromycin","200mg every 8 hours,250mg every 6 hours","Severe chest pain,Difficulty breathing","Avoid smoking,Limit alcohol intake,Adequate sleep"
Disease_44,A simulated disease profile for Disease_44 with common medical symptoms and treatments.,"Shortness of breath,Dizziness,Vomiting,Cough,Muscle pain","Drink plenty of water,Avoid spicy food,Regular hand washing","Omeprazole,Paracetamol,Metformin","100mg once daily,500mg twice a day","Uncontrolled bleeding,Severe dehydration","Adequate sleep,Daily exercise,Hydration"
Disease_45,A simulated disease profile for Disease_45 with common medical symptoms and treatments.,"Chest pain,Joint pain,Sore throat,Fever,Nausea","Rest adequately,Vaccination,Drink plenty of water","Cetirizine,Prednisone,Ibuprofen","250mg every 6 hours,1 tablet after meals","Severe dehydration,High-grade fever","Avoid smoking,Regular checkups,Adequate sleep"
Disease_46,A simulated disease profile for Disease_46 with common medical symptoms and treatments.,"Blurred vision,Loss of appetite,Cough,Rash,Shortness of breath","Physical distancing,Avoid spicy food,Drink plenty of water","Paracetamol,Azithromycin,Amoxicillin","500mg twice a day,250mg every 6 hours","High-grade fever,Severe dehydration","Daily exercise,Low-fat diet,Avoid smoking"
Disease_47,A simulated disease profile for Disease_47 with common medical symptoms and treatments.,"Cough,Nausea,Headache,Fatigue,Blurred vision","Eat a balanced diet,Drink plenty of water,Avoid spicy food","Metformin,Azithromycin,Aspirin","10ml thrice a day,1 tablet after meals","Severe dehydration,High-grade fever","Low-fat diet,Hydration,Limit alcohol intake"
Disease_48,A simulated disease profile for Disease_48 with common medical symptoms and treatments.,"Joint pain,Dizziness,Muscle pain,Loss of appetite,Shortness of breath","Avoid contact with infected individuals,Use protective gear,Vaccination","Loratadine,Amoxicillin,Metformin","500mg twice a day,200mg every 8 hours","Severe chest pain,High-grade fever","Adequate sleep,Limit alcohol intake,Daily exercise"
Disease_49,A simulated disease profile for Disease_49 with common medical symptoms and treatments.,"Dizziness,Sore throat,Joint pain,Cough,Chest pain","Regular hand washing,Maintain hygiene,Drink plenty of water","Paracetamol,Loratadine,Prednisone","500mg twice a day,1 tablet after meals","Loss of consciousness,Severe chest pain","Hydration,Adequate sleep,Limit alcohol intake"
Disease_50,A simulated disease profile for Disease_50 with common medical symptoms and treatments.,"Dizziness,Sore throat,Rash,Fatigue,Blurred vision","Avoid contact with infected individuals,Physical distancing,Vaccination","Omeprazole,Aspirin,Azithromycin","100mg once daily,10ml thrice a day","Loss of consciousness,High-grade fever","Limit alcohol intake,Avoid smoking,Daily exercise"
Disease_51,A simulated disease profile for Disease_51 with common medical symptoms and treatments.,"Muscle pain,Dizziness,Shortness of breath,Cough,Rash","Eat a balanced diet,Drink plenty of water,Regular hand washing","Paracetamol,Amoxicillin,Aspirin","1 tablet after meals,200mg every 8 hours","Severe dehydration,Uncontrolled bleeding","Stress management,Adequate sleep,Daily exercise"
Disease_52,A simulated disease profile for Disease_52 with common medical symptoms and treatments.,"Fatigue,Loss of appetite,Cough,Sore throat,Dizziness","Physical distancing,Vaccination,Avoid spicy food","Aspirin,Ibuprofen,Omeprazole","10ml thrice a day,1 tablet after meals","Severe chest pain,High-grade fever","Limit alcohol intake,Regular checkups,Daily exercise"
Disease_53,A simulated disease profile for Disease_53 with common medical symptoms and treatments.,"Rash,Blurred vision,Joint pain,Sore throat,Shortness of breath","Eat a balanced diet,Regular hand washing,Avoid contact with infected individuals","Cetirizine,Ibuprofen,Loratadine","1 tablet after meals,10ml thrice a day","High-grade fever,Difficulty breathing","Stress management,Daily exercise,Avoid smoking"
Disease_54,A simulated disease profile for Disease_54 with common medical symptoms and treatments.,"Sore throat,Cough,Nausea,Fever,Rash","Avoid spicy food,Maintain hygiene,Rest adequately","Prednisone,Omeprazole,Amoxicillin","100mg once daily,10ml thrice a day","Difficulty breathing,Uncontrolled bleeding","Daily exercise,Avoid smoking,Stress management"
Disease_55,A simulated disease profile for Disease_55 with common medical symptoms and treatments.,"Fever,Muscle pain,Nausea,Sore throat,Vomiting","Physical distancing,Avoid contact with infected individuals,Eat a balanced diet","Ibuprofen,Amoxicillin,Paracetamol","1 tablet after meals,200mg every 8 hours","Uncontrolled bleeding,Loss of consciousness","Regular checkups,Daily exercise,Hydration"
Disease_56,A simulated disease profile for Disease_56 with common medical symptoms and treatments.,"Cough,Chest pain,Joint pain,Muscle pain,Blurred vision","Use protective gear,Drink plenty of water,Physical distancing","Cetirizine,Prednisone,Loratadine","200mg every 8 hours,500mg twice a day","Severe chest pain,Difficulty breathing","Adequate sleep,Stress management,Low-fat diet"
Disease_57,A simulated disease profile for Disease_57 with common medical symptoms and treatments.,"Chest pain,Shortness of breath,Rash,Cough,Muscle pain","Use protective gear,Vaccination,Physical distancing","Amoxicillin,Loratadine,Azithromycin","500mg twice a day,250mg every 6 hours","Uncontrolled bleeding,Difficulty breathing","Low-fat diet,Avoid smoking,Stress management"
Disease_58,A simulated disease profile for Disease_58 with common medical symptoms and treatments.,"Vomiting,Muscle pain,Joint pain,Cough,Headache","Eat a balanced diet,Maintain hygiene,Rest adequately","Amoxicillin,Paracetamol,Omeprazole","100mg once daily,200mg every 8 hours","High-grade fever,Severe chest pain","Low-fat diet,Avoid smoking,Adequate sleep"
Disease_59,A simulated disease profile for Disease_59 with common medical symptoms and treatments.,"Joint pain,Vomiting,Fever,Rash,Blurred vision","Avoid contact with infected individuals,Maintain hygiene,Drink plenty of water","Amoxicillin,Cetirizine,Prednisone","1 tablet after meals,200mg every 8 hours","Severe dehydration,Difficulty breathing","Limit alcohol intake,Avoid smoking,Daily exercise"
Disease_60,A simulated disease profile for Disease_60 with common medical symptoms and treatments.,"Shortness of breath,Fatigue,Vomiting,Headache,Rash","Rest adequately,Physical distancing,Avoid contact with infected individuals","Paracetamol,Prednisone,Amoxicillin","250mg every 6 hours,100mg once daily","Loss of consciousness,Difficulty breathing","Regular checkups,Avoid smoking,Limit alcohol intake"
Disease_61,A simulated disease profile for Disease_61 with common medical symptoms and treatments.,"Rash,Blurred vision,Shortness of breath,Chest pain,Cough","Avoid contact with infected individuals,Use protective gear,Maintain hygiene","Cetirizine,Ibuprofen,Loratadine","100mg once daily,1 tablet after meals","Severe chest pain,Difficulty breathing","Daily exercise,Adequate sleep,Regular checkups"
Disease_62,A simulated disease profile for Disease_62 with common medical symptoms and treatments.,"Dizziness,Chest pain,Loss of appetite,Nausea,Blurred vision","Use protective gear,Physical distancing,Avoid spicy food","Azithromycin,Omeprazole,Aspirin","500mg twice a day,200mg every 8 hours","Difficulty breathing,Severe chest pain","Low-fat diet,Stress management,Hydration"
Disease_63,A simulated disease profile for Disease_63 with common medical symptoms and treatments.,"Rash,Vomiting,Loss of appetite,Chest pain,Nausea","Drink plenty of water,Physical distancing,Avoid spicy food","Aspirin,Azithromycin,Prednisone","500mg twice a day,200mg every 8 hours","Severe dehydration,Difficulty breathing","Low-fat diet,Avoid smoking,Daily exercise"
Disease_64,A simulated disease profile for Disease_64 with common medical symptoms and treatments.,"Headache,Dizziness,Cough,Chest pain,Loss of appetite","Vaccination,Eat a balanced diet,Use protective gear","Amoxicillin,Cetirizine,Metformin","500mg twice a day,1 tablet after meals","Severe dehydration,Loss of consciousness","Limit alcohol intake,Hydration,Regular checkups"
Disease_65,A simulated disease profile for Disease_65 with common medical symptoms and treatments.,"Loss of appetite,Cough,Nausea,Joint pain,Chest pain","Maintain hygiene,Vaccination,Regular hand washing","Loratadine,Azithromycin,Aspirin","100mg once daily,250mg every 6 hours","Severe chest pain,Difficulty breathing","Daily exercise,Low-fat diet,Hydration"
Disease_66,A simulated disease profile for Disease_66 with common medical symptoms and treatments.,"Dizziness,Rash,Joint pain,Blurred vision,Cough","Avoid spicy food,Eat a balanced diet,Avoid contact with infected individuals","Loratadine,Omeprazole,Paracetamol","500mg twice a day,1 tablet after meals","High-grade fever,Loss of consciousness","Daily exercise,Adequate sleep,Avoid smoking"
Disease_67,A simulated disease profile for Disease_67 with common medical symptoms and treatments.,"Vomiting,Chest pain,Blurred vision,Dizziness,Joint pain","Physical distancing,Drink plenty of water,Avoid contact with infected individuals","Azithromycin,Loratadine,Cetirizine","250mg every 6 hours,500mg twice a day","Difficulty breathing,High-grade fever","Hydration,Low-fat diet,Regular checkups"
Disease_68,A simulated disease profile for Disease_68 with common medical symptoms and treatments.,"Rash,Dizziness,Blurred vision,Shortness of breath,Loss of appetite","Regular hand washing,Use protective gear,Physical distancing","Azithromycin,Ibuprofen,Loratadine","200mg every 8 hours,500mg twice a day","Severe chest pain,Loss of consciousness","Adequate sleep,Low-fat diet,Hydration"
Disease_69,A simulated disease profile for Disease_69 with common medical symptoms and treatments.,"Joint pain,Muscle pain,Fatigue,Chest pain,Loss of appetite","Maintain hygiene,Vaccination,Drink plenty of water","Cetirizine,Prednisone,Amoxicillin","10ml thrice a day,500mg twice a day","Severe chest pain,Severe dehydration","Daily exercise,Hydration,Low-fat diet"
Disease_70,A simulated disease profile for Disease_70 with common medical symptoms and treatments.,"Shortness of breath,Joint pain,Sore throat,Loss of appetite,Fatigue","Drink plenty of water,Use protective gear,Avoid spicy food","Aspirin,Prednisone,Loratadine","500mg twice a day,10ml thrice a day","Difficulty breathing,Severe chest pain","Limit alcohol intake,Avoid smoking,Regular checkups"
Disease_71,A simulated disease profile for Disease_71 with common medical symptoms and treatments.,"Cough,Joint pain,Loss of appetite,Dizziness,Shortness of breath","Eat a balanced diet,Drink plenty of water,Vaccination","Aspirin,Omeprazole,Cetirizine","1 tablet after meals,200mg every 8 hours","Loss of consciousness,Severe dehydration","Daily exercise,Limit alcohol intake,Avoid smoking"
Disease_72,A simulated disease profile for Disease_72 with common medical symptoms and treatments.,"Joint pain,Sore throat,Fever,Shortness of breath,Loss of appetite","Physical distancing,Maintain hygiene,Drink plenty of water","Azithromycin,Omeprazole,Amoxicillin","10ml thrice a day,1 tablet after meals","Difficulty breathing,Severe dehydration","Adequate sleep,Hydration,Low-fat diet"
Disease_73,A simulated disease profile for Disease_73 with common medical symptoms and treatments.,"Rash,Muscle pain,Fatigue,Cough,Joint pain","Vaccination,Rest adequately,Use protective gear","Aspirin,Cetirizine,Loratadine","250mg every 6 hours,10ml thrice a day","Loss of consciousness,High-grade fever","Limit alcohol intake,Hydration,Daily exercise"
Disease_74,A simulated disease profile for Disease_74 with common medical symptoms and treatments.,"Fatigue,Fever,Sore throat,Cough,Dizziness","Maintain hygiene,Drink plenty of water,Avoid spicy food","Omeprazole,Paracetamol,Loratadine","500mg twice a day,250mg every 6 hours","Severe dehydration,Severe chest pain","Avoid smoking,Daily exercise,Hydration"
Disease_75,A simulated disease profile for Disease_75 with common medical symptoms and treatments.,"Rash,Nausea,Sore throat,Vomiting,Shortness of breath","Rest adequately,Eat a balanced diet,Maintain hygiene","Prednisone,Ibuprofen,Amoxicillin","250mg every 6 hours,1 tablet after meals","Uncontrolled bleeding,Severe chest pain","Avoid smoking,Regular checkups,Hydration"
Disease_76,A simulated disease profile for Disease_76 with common medical symptoms and treatments.,"Blurred vision,Sore throat,Loss of appetite,Chest pain,Cough","Physical distancing,Eat a balanced diet,Vaccination","Omeprazole,Paracetamol,Aspirin","100mg once daily,1 tablet after meals","Loss of consciousness,High-grade fever","Low-fat diet,Limit alcohol intake,Adequate sleep"
Disease_77,A simulated disease profile for Disease_77 with common medical symptoms and treatments.,"Sore throat,Headache,Nausea,Blurred vision,Shortness of breath","Avoid contact with infected individuals,Rest adequately,Use protective gear","Azithromycin,Metformin,Prednisone","1 tablet after meals,250mg every 6 hours","Difficulty breathing,Uncontrolled bleeding","Limit alcohol intake,Hydration,Adequate sleep"
Disease_78,A simulated disease profile for Disease_78 with common medical symptoms and treatments.,"Cough,Shortness of breath,Blurred vision,Nausea,Sore throat","Maintain hygiene,Physical distancing,Drink plenty of water","Azithromycin,Ibuprofen,Cetirizine","10ml thrice a day,1 tablet after meals","High-grade fever,Loss of consciousness","Stress management,Avoid smoking,Daily exercise"
Disease_79,A simulated disease profile for Disease_79 with common medical symptoms and treatments.,"Vomiting,Nausea,Blurred vision,Rash,Shortness of breath","Physical distancing,Maintain hygiene,Drink plenty of water","Cetirizine,Amoxicillin,Aspirin","500mg twice a day,100mg once daily","Severe chest pain,Severe dehydration","Regular checkups,Adequate sleep,Hydration"
Disease_80,A simulated disease profile for Disease_80 with common medical symptoms and treatments.,"Blurred vision,Sore throat,Joint pain,Vomiting,Loss of appetite","Regular hand washing,Drink plenty of water,Use protective gear","Amoxicillin,Loratadine,Omeprazole","100mg once daily,250mg every 6 hours","Severe dehydration,Severe chest pain","Hydration,Low-fat diet,Daily exercise"
Disease_81,A simulated disease profile for Disease_81 with common medical symptoms and treatments.,"Dizziness,Muscle pain,Blurred vision,Sore throat,Cough","Maintain hygiene,Rest adequately,Regular hand washing","Loratadine,Paracetamol,Amoxicillin","1 tablet after meals,250mg every 6 hours","Severe chest pain,Uncontrolled bleeding","Daily exercise,Avoid smoking,Regular checkups"
Disease_82,A simulated disease profile for Disease_82 with common medical symptoms and treatments.,"Chest pain,Cough,Vomiting,Shortness of breath,Fatigue","Eat a balanced diet,Vaccination,Avoid spicy food","Prednisone,Ibuprofen,Cetirizine","500mg twice a day,200mg every 8 hours","Difficulty breathing,Loss of consciousness","Adequate sleep,Limit alcohol intake,Stress management"
